VendorNumber,VendorName,Brand,PurchasePrice,Description,Actual_price,Volume,TotalPurchaseQuantity,Total_Purchase_Dollars,Total_Sales_Quantity,Total_Sales_Dollars,Total_Sales_Price,Total_Excise_Tax,TotalFreight,Profit,ROI,Profit_Margin,StockTurnover,Sales_Per_Purchase
1128,BROWN-FORMAN CORP,1233,26.27,Jack Daniels No 7 Black,36.99,1750.0,145080,3811251.6,142049.0,5101919.51,672819.31,260999.19999999998,68601.68,1290667.9099999997,0.33864673484164615,25.297692514949137,-3031.0,0.9791080783016267
4425,MARTIGNETTI COMPANIES,3405,23.19,Tito's Handmade Vodka,28.99,1750.0,164038,3804041.22,160247.0,4819073.49,561512.37,294438.66,144929.24,1015032.27,0.26682998718925555,21.062809523579187,-3791.0,0.9768895012131336
17035,PERNOD RICARD USA,8068,18.24,Absolut 80 Proof,24.99,1750.0,187407,3418303.68,187140.0,4538120.6,461140.14999999997,343854.07,123780.22,1119816.9199999995,0.32759433474324884,24.67578583081286,-267.0,0.9985752933454993
3960,DIAGEO NORTH AMERICA INC,4261,16.17,Capt Morgan Spiced Rum,22.99,1750.0,201682,3261197.94,200412.0,4475972.88,420050.00999999995,368242.8,257032.07,1214774.94,0.37249347091148965,27.139908408024134,-1270.0,0.9937029581221923
3960,DIAGEO NORTH AMERICA INC,3545,21.89,Ketel One Vodka,29.99,1750.0,138109,3023206.01,135838.0,4223107.62,545778.28,249587.83,257032.07,1199901.6100000003,0.39689707086815446,28.41276420040653,-2271.0,0.9835564662693959
480,BACARDI USA INC,3858,17.77,Grey Goose Vodka,23.99,750.0,138809,2466635.93,141860.0,3383912.4,446932.08999999997,111699.19,89286.27,917276.4699999997,0.3718734730341821,27.106980369822804,3051.0,1.0219798428055817
17035,PERNOD RICARD USA,2589,30.76,Jameson Irish Whiskey,39.99,1750.0,70783,2177285.08,69627.0,2773367.73,614529.3400000001,127931.67,123780.22,596082.6499999999,0.27377335906789013,21.493098212403297,-1156.0,0.9836683949535906
3960,DIAGEO NORTH AMERICA INC,3102,12.94,Smirnoff Traveler,17.99,1750.0,161386,2088334.84,148265.0,2592041.35,292586.29,272422.6,257032.07,503706.51,0.2412000701956397,19.43281151745515,-13121.0,0.9186980283295949
3960,DIAGEO NORTH AMERICA INC,3489,20.73,Tanqueray,27.99,1750.0,91835,1903739.55,90481.0,2640491.19,503661.01999999996,166244.44,257032.07,736751.6399999999,0.3870023291789047,27.902067720968233,-1354.0,0.9852561659498013
12546,JIM BEAM BRANDS COMPANY,1376,16.29,Jim Beam,21.99,1750.0,108866,1773427.14,107061.0,2435393.39,426902.77999999997,196707.35,123880.97,661966.2500000002,0.37326949332691517,27.18108099981335,-1805.0,0.9834199842007606
17035,PERNOD RICARD USA,2585,16.42,Jameson Irish Whiskey,22.99,750.0,93205,1530426.1,91247.0,2148965.53,436011.63999999996,71840.56999999999,123780.22,618539.4299999997,0.40416157957577936,28.78312478097309,-1958.0,0.9789925433184915
3960,DIAGEO NORTH AMERICA INC,2757,22.38,Johnnie Walker Red Label,29.99,1750.0,66942,1498161.96,61433.0,1840615.67,442856.19999999995,112875.19,257032.07,342453.70999999996,0.2285825692704145,18.605389250000247,-5509.0,0.917704878850348
480,BACARDI USA INC,2663,21.42,Dewars White Label,29.99,1750.0,69001,1478001.42,70122.0,2189368.78,495957.83,128839.08,89286.27,711367.3599999999,0.48130357006016944,32.49189293728761,1121.0,1.0162461413602701
10000,MAJESTIC FINE WINES,6570,6.77,Kendall Jackson Chard Vt RSV,10.99,750.0,215668,1460072.3599999999,214238.0,2326007.78,189608.96,24083.77,17587.59,865935.4199999999,0.5930770581808699,37.2283974045865,-1430.0,0.9933694382105829
9165,ULTRA BEVERAGE COMPANY LLP,3650,33.81,Patron Silver Tequila,48.99,750.0,42951,1452173.31,41639.0,2009508.61,662320.04,32783.09,68054.7,557335.3,0.38379392883897584,27.734904803418587,-1312.0,0.9694535633629019
3960,DIAGEO NORTH AMERICA INC,2753,44.77,Johnnie Walker Black Label,59.99,1750.0,31596,1414552.92,28372.0,1739044.28,507291.43,52133.72,257032.07,324491.3600000001,0.22939499499248153,18.659177556997,-3224.0,0.897961767312318
17035,PERNOD RICARD USA,5364,23.07,Kahlua,29.99,1750.0,60645,1399080.15,59771.0,1844950.29,504735.06,109817.06999999999,123780.22,445870.14000000013,0.31868806086627716,24.167054387140162,-874.0,0.9855882595432435
3960,DIAGEO NORTH AMERICA INC,8082,21.73,Baileys Irish Cream,33.99,1750.0,64249,1396130.77,65184.0,2068091.16,494487.65,119767.49,257032.07,671960.3899999999,0.4813018983887877,32.49181675337754,935.0,1.0145527556849134
3960,DIAGEO NORTH AMERICA INC,8680,28.88,Crown Royal,39.99,1750.0,47546,1373128.48,47966.0,1884307.34,596574.93,88129.8,257032.07,511178.8600000001,0.3722731466468455,27.128210411789834,420.0,1.0088335506667228
3960,DIAGEO NORTH AMERICA INC,4260,16.66,Capt Morgan Original Barrel,21.99,1750.0,79078,1317439.48,79042.0,1635666.58,121065.24999999999,145234.95,257032.07,318227.1000000001,0.2415496915273862,19.455499298640685,-36.0,0.9995447532815701
480,BACARDI USA INC,3348,22.38,Bombay Sapphire Gin,29.99,1750.0,57349,1283470.62,56888.0,1766391.1199999999,460087.95,104524.54,89286.27,482920.49999999977,0.3762614371336367,27.339386760504087,-461.0,0.9919614988927444
480,BACARDI USA INC,3857,38.27,Grey Goose Vodka,49.99,1750.0,33388,1277758.76,32945.0,1699669.55,589137.79,60533.43,89286.27,421910.79000000004,0.3301959675079825,24.823106938639928,-443.0,0.9867317599137415
8664,"STOLI GROUP,(USA) LLC",8112,19.52,Stolichnaya,24.99,1750.0,61936,1208990.72,61323.0,1528730.27,392353.54,112669.45,18544.49,319739.55000000005,0.26446815902772197,20.91536723479676,-613.0,0.9901026866442779
480,BACARDI USA INC,126,20.14,Grey Goose Vodka,32.99,1000.0,59878,1205942.92,58013.0,1736610.87,294049.49,60913.65,89286.27,530667.9500000002,0.4400440030776915,30.557677552715084,-1865.0,0.9688533351147333
12546,JIM BEAM BRANDS COMPANY,3512,11.76,Pinnacle Vodka,16.99,1750.0,101480,1193404.8,98938.0,1624366.6199999999,306439.94,181782.13,123880.97,430961.81999999983,0.3611195631189013,26.531068460394724,-2542.0,0.9749507292077256
12546,JIM BEAM BRANDS COMPANY,2120,12.21,Canadian Club,16.99,1750.0,97473,1190145.33,94960.0,1554498.4,307670.2,174471.93,123880.97,364353.06999999983,0.30614166254805186,23.438626247540675,-2513.0,0.9742185015337581
7245,PROXIMO SPIRITS INC.,8159,19.69,Jose Cuervo Especial,25.99,1750.0,59088,1163442.72,58610.0,1549701.9,431497.81,107685.03,38994.78,386259.17999999993,0.33199673121853385,24.924740687225068,-478.0,0.9919103709721094
480,BACARDI USA INC,4243,14.49,Bacardi Superior Rum,19.99,1750.0,76389,1106876.61,77041.0,1657809.59,342678.85,141551.61,89286.27,550932.98,0.49773658149664934,33.2325849315421,652.0,1.0085352603123487
8112,MOET HENNESSY USA INC,6654,27.2,Veuve Clicquot Brut Yellow,39.99,750.0,40380,1098336.0,38506.0,1584665.41,349562.06,4316.36,48347.26,486329.4099999999,0.44278746212452286,30.68972206568199,-1874.0,0.9535908865775137
3960,DIAGEO NORTH AMERICA INC,8512,14.72,Baileys Irish Cream,19.99,750.0,72952,1073853.44,73122.0,1456174.78,340626.12999999995,57570.69,257032.07,382321.3400000001,0.35602748546393825,26.255182087413992,170.0,1.0023302993749315
7245,PROXIMO SPIRITS INC.,3802,13.43,Three Olives Vodka,18.99,1750.0,77066,1034996.38,74722.0,1408627.78,331726.62999999995,137288.58,38994.78,373631.4,0.3609977843594004,26.524494639740816,-2344.0,0.9695845119767472
11567,CAMPARI AMERICA,3826,15.74,Skyy Vodka,19.99,1750.0,65382,1029112.6799999999,64388.0,1327401.1199999999,352821.77999999997,118298.37,20964.81,298288.43999999994,0.28985012603284604,22.471612800808842,-994.0,0.9847970389403812
8112,MOET HENNESSY USA INC,42188,34.01,Moet & Chandon Nectar Imp Rs,52.99,750.0,29829,1014484.29,29498.0,1533634.52,132343.67,3314.23,48347.26,519150.23,0.5117380674273427,33.850974481195166,-331.0,0.9889034161386571
17035,PERNOD RICARD USA,3423,21.25,Beefeater,26.99,1750.0,46163,980963.75,44762.0,1177834.38,367508.00999999995,82244.16,123780.22,196870.6299999999,0.20069103470948838,16.71462756928524,-1401.0,0.9696510192145225
8004,SAZERAC CO INC,5138,11.1,Fireball Cinnamon Whisky,13.99,750.0,87954,976289.4,84289.0,1174428.36,257643.31,66360.95,50293.62,198138.96000000008,0.20295105119445123,16.871098037857333,-3665.0,0.9583304909384451
17035,PERNOD RICARD USA,5734,15.82,Malibu Rum,21.99,1750.0,61639,975128.98,60102.0,1293182.98,315290.18,110429.45,123780.22,318054.0,0.3261660831780428,24.594663316710218,-1537.0,0.9750644883920895
480,BACARDI USA INC,4227,14.17,Bacardi Superior Rum Trav,17.99,1750.0,68294,967725.98,75147.0,1323223.53,177578.65,138074.09,89286.27,355497.55000000005,0.36735352501335145,26.866023913586247,6853.0,1.100345564764108
4425,MARTIGNETTI COMPANIES,3505,13.76,Tito's Handmade Vodka,18.99,750.0,69299,953554.24,70603.0,1355204.97,331321.58999999997,55584.909999999996,144929.24,401650.73,0.4212143506383024,29.63763702844153,1304.0,1.0188170103464695
1128,BROWN-FORMAN CORP,1232,15.93,Jack Daniels No 7 Black,22.99,750.0,52932,843206.76,53206.0,1255188.94,394500.86,41888.06,68601.68,411982.17999999993,0.4885897499208853,32.82232394431391,274.0,1.0051764528073754
12546,JIM BEAM BRANDS COMPANY,1385,20.45,Makers Mark,26.99,750.0,41048,839431.6,37615.0,1034144.85,396827.64999999997,29615.6,123880.97,194713.25,0.23195844664413395,18.828431046192417,-3433.0,0.9163662054180471
8004,SAZERAC CO INC,5103,17.14,Fireball Cinnamon Whisky,23.99,1750.0,44198,757553.72,43533.0,1093841.67,364814.63999999996,79984.58,50293.62,336287.94999999995,0.4439130072518157,30.743750144387892,-665.0,0.984954070319924
17035,PERNOD RICARD USA,8000,53.96,The Glenlivet 12 Yr Single,67.99,1750.0,13759,742435.64,13210.0,910688.8999999999,453044.27999999997,24275.31,123780.22,168253.2599999999,0.2266233609151628,18.475382756943663,-549.0,0.960098844392761
3960,DIAGEO NORTH AMERICA INC,2432,17.59,Crown Royal,22.99,750.0,41893,736897.87,41506.0,967005.94,361149.79,32678.12,257032.07,230108.06999999995,0.3122658910657456,23.795931387970583,-387.0,0.990762179839114
17035,PERNOD RICARD USA,5365,14.84,Kahlua,18.99,750.0,48583,720971.72,48615.0,932815.85,323296.75999999995,38272.73,123780.22,211844.13,0.2938314002108155,22.710176933635935,32.0,1.0006586666117778
3960,DIAGEO NORTH AMERICA INC,3876,13.95,Smirnoff 80 Proof,19.99,1750.0,50962,710919.9,64266.0,1210481.34,298050.95999999996,118078.45,257032.07,499561.44000000006,0.7026972236956653,41.26965228559409,13304.0,1.2610572583493584
1392,CONSTELLATION BRANDS INC,3913,14.28,Svedka Vodka,17.99,1750.0,48481,692308.68,47805.0,875307.95,271014.43,87832.83,79528.99,182999.2699999999,0.2643319017753755,20.906844271207625,-676.0,0.9860563932262123
8004,SAZERAC CO INC,3522,9.62,Platinum 7X Distilled Vodka,12.99,1750.0,71899,691668.38,70351.0,914148.49,232302.78,129253.37,50293.62,222480.11,0.32165719358169875,24.337414811022658,-1548.0,0.9784697979109584
1392,CONSTELLATION BRANDS INC,2114,9.41,Black Velvet Canadian Whisky,12.99,1750.0,73227,689066.07,72043.0,948838.57,229797.43,132364.71,79528.99,259772.5,0.37699215113000706,27.377944806775723,-1184.0,0.9838311005503435
4425,MARTIGNETTI COMPANIES,11219,8.44,Josh Cellars Cab Svgn Sonoma,12.99,750.0,80030,675453.2,78392.0,1095045.04,199092.27,8799.82,144929.24,419591.8400000001,0.6212004621489692,38.31731341388479,-1638.0,0.9795326752467824
9552,M S WALKER INC,3893,7.93,Zhenka 80 Proof,9.99,1750.0,81447,645874.71,81723.0,816412.77,171058.77,150149.63,55551.82,170538.06000000006,0.2640420152075626,20.88870559925221,276.0,1.0033887067663634
1128,BROWN-FORMAN CORP,811,19.84,Jack Daniels No 7 Black,29.99,1000.0,32554,645871.36,32064.0,937915.36,253234.69999999998,33667.2,68601.68,292044.0,0.4521705374890752,31.137564481298185,-490.0,0.9849480862566812
3960,DIAGEO NORTH AMERICA INC,2443,13.48,Seagrams VO,16.99,1750.0,47654,642375.92,47446.0,902489.5399999999,273169.25999999995,87173.56999999999,257032.07,260113.61999999988,0.4049243004003012,28.82178778493099,-208.0,0.9956352037604398
660,SAZERAC NORTH AMERICA INC.,2127,7.19,Canadian Ltd,10.49,1750.0,86887,624717.53,86195.0,899110.55,183132.56,158367.21,17932.33,274393.02,0.43922734167552496,30.51827386521046,-692.0,0.9920356324881743
1392,CONSTELLATION BRANDS INC,6682,6.03,R M Woodbridge Chard Cal,8.99,1500.0,101547,612328.41,101339.0,1016328.61,161300.35,22776.05,79528.99,404000.19999999995,0.6597769977715062,39.750942364989605,-208.0,0.9979516873959842
3960,DIAGEO NORTH AMERICA INC,3798,19.83,Ciroc Apple Vodka,28.99,750.0,30830,611358.9,29647.0,748067.53,157601.68,23348.15,257032.07,136708.63,0.22361436138412313,18.27490494073443,-1183.0,0.9616282841388258
3960,DIAGEO NORTH AMERICA INC,4262,11.19,Capt Morgan Spiced Rum,13.99,750.0,54552,610436.88,55710.0,862422.9,241540.93,43861.64,257032.07,251986.02000000002,0.4127961927857308,29.218382304087704,1158.0,1.0212274527056753
1128,BROWN-FORMAN CORP,2015,18.1,Jack Daniels Tennessee Honey,22.99,750.0,33715,610241.5,32969.0,771010.3099999999,303753.14999999997,25959.91,68601.68,160768.80999999994,0.26345112549703675,20.85170689870541,-746.0,0.9778733501408868
12546,JIM BEAM BRANDS COMPANY,1737,34.3,Makers Mark,51.99,1750.0,17537,601519.1,16089.0,823521.11,432234.78,29564.92,123880.97,222002.01,0.36906892898330246,26.957658681026402,-1448.0,0.9174317158008781
4425,MARTIGNETTI COMPANIES,38370,6.59,Oyster Bay Svgn Bl Marlboro,9.95,750.0,91140,600612.6,90267.0,890334.41,124833.98,10138.880000000001,144929.24,289721.81000000006,0.4823771762363961,32.540785433643975,-873.0,0.9904213298222515
6785,PALM BAY INTERNATIONAL INC,6937,6.75,Cavit Pinot Grigio,9.99,1500.0,88752,599076.0,87974.0,945345.02,164272.29,19771.27,13605.41,346269.02,0.5780051612817072,36.628851125698006,-778.0,0.9912340003605552
8112,MOET HENNESSY USA INC,4689,33.33,Hennessy Privilege VSOP,45.99,750.0,17838,594540.54,18005.0,858571.95,177136.37,14178.85,48347.26,264031.4099999999,0.44409319842175926,30.752391805951724,167.0,1.009362036102702
4425,MARTIGNETTI COMPANIES,3040,16.54,Tito's Handmade Vodka,23.99,1000.0,35922,594149.88,34901.0,842326.99,253126.18,36646.05,144929.24,248177.11,0.4177011867779894,29.463274114011234,-1021.0,0.9715773063860587
17035,PERNOD RICARD USA,3625,12.59,Absolut 80 Proof,16.99,750.0,45969,578749.7100000001,44406.0,785296.94,270297.42,34961.13,123780.22,206547.22999999986,0.35688524146301487,26.301799928062863,-1563.0,0.9659988252953077
8112,MOET HENNESSY USA INC,7865,23.97,Moet & Chandon Imperial,34.99,750.0,24088,577389.36,23290.0,834892.1,249582.16,2606.53,48347.26,257502.74,0.4459776328403419,30.842637030581553,-798.0,0.9668714712720027
12546,JIM BEAM BRANDS COMPANY,1346,22.55,Knob Creek Bourbon,29.99,750.0,25540,575927.0,22144.0,684455.5599999999,350154.70999999996,17438.07,123880.97,108528.55999999994,0.1884415212344619,15.856187945934716,-3396.0,0.8670321064996085
7239,REMY COINTREAU USA INC,5242,22.05,Cointreau Liqueur,29.99,750.0,25361,559210.05,24770.0,763368.2999999999,351898.27,19504.75,16978.67,204158.24999999988,0.36508329920036287,26.74439716713412,-591.0,0.9766965025038444
7239,REMY COINTREAU USA INC,4722,27.77,Remy Martin VSOP Cognac,34.99,750.0,19910,552900.7000000001,18637.0,665392.63,204514.67,14677.69,16978.67,112491.92999999993,0.2034577456675311,16.906097983081047,-1273.0,0.9360622802611753
4425,MARTIGNETTI COMPANIES,6967,11.89,Santa Margherita Pnt Grigio,19.99,750.0,46257,549995.73,46511.0,923055.25,185950.74,5216.400000000001,144929.24,373059.52,0.6782953024017114,40.415730261000085,254.0,1.0054910608124177
8664,"STOLI GROUP,(USA) LLC",3630,19.83,Stolichnaya Razberi,24.99,1750.0,27479,544908.57,27622.0,700960.78,298569.61,50751.81,18544.49,156052.21000000008,0.28638237420270357,22.262616461936723,143.0,1.0052039739437388
1128,BROWN-FORMAN CORP,2760,28.02,Jack Daniels Tennessee Honey,38.99,1750.0,19219,538516.38,18250.0,701171.5,345701.2,33536.43,68601.68,162655.12,0.30204303163443236,23.19762283549745,-969.0,0.9495811436599199
3960,DIAGEO NORTH AMERICA INC,8178,18.51,Bulleit Bourbon,25.99,750.0,28421,526072.71,27204.0,724379.96,301943.56,21421.64,257032.07,198307.25,0.3769578733707742,27.376136965467683,-1217.0,0.9571795503325006
3089,SIDNEY FRANK IMPORTING CO,5445,11.76,Jagermeister Liqueur,15.99,750.0,44330,521320.8,41133.0,661672.67,253884.34,32383.34,8549.55,140351.87000000005,0.2692236143273011,21.21167706684939,-3197.0,0.9278817956237311
3252,E & J GALLO WINERY,14006,5.44,Apothic Winemakers Red Blend,9.99,750.0,94779,515597.76,91600.0,812899.38,143899.93,10283.26,61966.91,297301.62,0.576615422068552,36.57299135841387,-3179.0,0.9664588147163401
3664,WILLIAM GRANT & SONS INC,3238,22.83,Hendrick's Gin,29.99,750.0,22352,510296.16,20847.0,632474.53,294114.64,16416.8,30234.420000000002,122178.37000000005,0.23942639505654925,19.317516232629963,-1505.0,0.9326682176091625
12546,JIM BEAM BRANDS COMPANY,3980,31.99,Hornitos Reposado Tequila,39.99,1750.0,15805,505601.95,15381.0,565522.1900000001,323365.62,28264.51,123880.97,59920.24000000005,0.1185126758312543,10.595559477515822,-424.0,0.9731730465042708
7245,PROXIMO SPIRITS INC.,3776,18.56,Jose Cuervo Especial Silver,25.99,1750.0,26795,497315.2,25596.0,684036.0399999999,295186.91,47031.43,38994.78,186720.8399999999,0.3754577378692626,27.29693014420701,-1199.0,0.9552528456801642
3960,DIAGEO NORTH AMERICA INC,3746,8.52,Gordons Vodka 80 Proof,12.99,1750.0,58309,496792.68,57845.0,724360.55,188936.74,106278.68,257032.07,227567.87000000005,0.458074120576817,31.416380972155377,-464.0,0.9920423948275566
17035,PERNOD RICARD USA,3728,18.93,Absolut Citron,24.99,1750.0,25959,491403.87,26222.0,658689.78,288436.23,48180.15,123780.22,167285.91000000003,0.3404244862784659,25.39676720048701,263.0,1.0101313609923341
3924,HEAVEN HILL DISTILLERIES,3243,8.26,Burnetts Vodka,10.49,1750.0,57575,475569.5,57067.0,648535.33,182200.23,104847.72,14069.87,172965.82999999996,0.3637025292833118,26.670224735482023,-508.0,0.9911767260095528
3089,SIDNEY FRANK IMPORTING CO,5440,25.92,Jagermeister Liqueur,34.99,1750.0,18298,474284.16000000003,18082.0,621256.18,318571.82,33226.63,8549.55,146972.02000000002,0.30988178057643756,23.657232673323268,-216.0,0.9881954311946661
480,BACARDI USA INC,4245,7.93,Bacardi Superior Rum,11.99,750.0,58816,466410.88,58320.0,643474.8,167950.57,45919.42,89286.27,177063.92000000004,0.37963076676084406,27.516838266238246,-496.0,0.9915669205658324
9165,ULTRA BEVERAGE COMPANY LLP,36378,6.83,MezzaCorona Pnt Grigio,9.97,1500.0,68084,465013.72,67195.0,695816.41,155747.37,15097.470000000001,68054.7,230802.69000000006,0.49633522641009403,33.1700555898071,-889.0,0.9869426003172551
3664,WILLIAM GRANT & SONS INC,4198,17.51,Sailor Jerry Spiced Navy Rum,24.99,1750.0,25998,455224.98,23008.0,575754.9199999999,288223.98,42276.159999999996,30234.420000000002,120529.93999999994,0.2647700484274829,20.934244035639324,-2990.0,0.8849911531656282
10000,MAJESTIC FINE WINES,24325,10.88,La Crema Chard Sonoma Cst,15.99,750.0,41274,449061.12,39387.0,658288.13,155090.72999999998,4415.6,17587.59,209227.01,0.4659210087036705,31.783500334420435,-1887.0,0.9542811455153365
17035,PERNOD RICARD USA,5735,9.29,Malibu Rum,11.99,750.0,48121,447044.09,46557.0,598769.43,181685.19,36656.77,123780.22,151725.34000000003,0.3393968143052736,25.33952676909374,-1564.0,0.9674985972860082
8112,MOET HENNESSY USA INC,5342,19.85,Grand Marnier,28.99,750.0,22234,441344.89999999997,22623.0,687309.77,335050.77999999997,17815.45,48347.26,245964.87000000005,0.5573076068172536,35.786610453682336,389.0,1.0174957272645497
2555,DISARONNO INTERNATIONAL LLC,5311,23.7,Amaretto DiSaronno,31.99,1750.0,18409,436293.3,18376.0,667168.24,306347.94,33767.5,5861.03,230874.94,0.5291737003524922,34.60520542764446,-33.0,0.9982073985550546
1392,CONSTELLATION BRANDS INC,19748,9.2,Clos du Bois Chard,13.99,1500.0,47153,433807.6,46069.0,701955.59,166739.16,10347.03,79528.99,268147.99,0.6181265381242744,38.20013599435828,-1084.0,0.977011006722796
8112,MOET HENNESSY USA INC,3668,34.12,Belvedere Polish Vodka,42.99,1750.0,12713,433767.56,12218.0,536414.8200000001,282790.95,22452.64,48347.26,102647.26000000007,0.23664116329953322,19.135798671632536,-495.0,0.9610634783292693
2561,EDRINGTON AMERICAS,2520,42.21,The Macallan 12 Yr Old,62.99,750.0,10227,431681.67,9713.0,572039.87,344176.98,7651.83,9654.5,140358.2,0.32514283036386515,24.5364365948828,-514.0,0.949740881979075
3960,DIAGEO NORTH AMERICA INC,8202,13.33,Sambuca Romana,17.99,750.0,32375,431558.75,31816.0,606781.84,219853.86,25052.7,257032.07,175223.08999999997,0.4060237221467528,28.877444651276967,-559.0,0.9827335907335907
3960,DIAGEO NORTH AMERICA INC,3276,9.62,Gordons London Dry,14.99,1750.0,44631,429350.22,44434.0,643753.66,185732.19,81641.20999999999,257032.07,214403.44000000006,0.4993672531482576,33.305199383254774,-197.0,0.9955860276489436
3960,DIAGEO NORTH AMERICA INC,497,14.7,Capt Morgan Spiced Rum,19.99,1000.0,29200,429240.0,29238.0,584467.62,145247.34,30699.9,257032.07,155227.62,0.3616336315348057,26.558805772679072,38.0,1.0013013698630138
3960,DIAGEO NORTH AMERICA INC,1883,13.23,Seagrams 7 Crown,17.99,1750.0,32253,426707.19,32430.0,583415.7,227105.75999999998,59584.78,257032.07,156708.50999999995,0.367250690104378,26.860523294110866,177.0,1.0054878615942704
3960,DIAGEO NORTH AMERICA INC,2767,139.7,Johnnie Walker Blue Label,189.99,750.0,2963,413931.10000000003,2761.0,548648.39,399868.02,2176.61,257032.07,134717.28999999998,0.325458246553593,24.554394482047048,-202.0,0.9318258521768478
17035,PERNOD RICARD USA,482,14.28,Absolut 80 Proof,21.99,1000.0,28888,412520.64,27866.0,599601.34,198436.06,29259.3,123780.22,187080.69999999995,0.4535062778919376,31.200847549807005,-1022.0,0.9646219883688729
3960,DIAGEO NORTH AMERICA INC,8778,37.29,Bulleit Bourbon,49.99,1750.0,10966,408922.14,10796.0,525233.04,304106.57,19841.33,257032.07,116310.90000000002,0.2844328751678743,22.144627459079878,-170.0,0.9844975378442459
1128,BROWN-FORMAN CORP,1220,21.89,Woodford Reserve Bourbon,29.99,750.0,18645,408139.05,18408.0,589481.92,293510.15,14496.36,68601.68,181342.87000000005,0.44431639168072756,30.76309278493224,-237.0,0.987288817377313
3960,DIAGEO NORTH AMERICA INC,2418,16.53,Crown Royal Regal Apple,22.99,750.0,24558,405943.74,24284.0,570271.16,263621.23,19122.7,257032.07,164327.42000000004,0.40480343409163067,28.815663762480998,-274.0,0.9888427396367783
